timestamp,location,ph,tds,turbidity,water_temperature,weather_temperature,precipitation,humidity,feverCount,diarrheaCount,vomitingCount,abdominalPainCount
2025-02-18,Zone_A,7.14,280.9,3.9,31.8,33.8,0.0,57.1,2,3,2,2
2025-02-19,Zone_A,7.24,250.7,2.65,32.1,34.1,0.0,52.0,1,2,1,1
2025-01-01,Zone_B,7.15,260.4,3.5,22.0,24.0,0.0,55.0,2,3,2,3
2025-01-02,Zone_B,7.19,252.1,2.95,22.3,24.3,0.0,53.2,1,2,1,2
2025-01-03,Zone_B,6.92,398.2,9.1,22.7,24.7,14.1,75.2,4,8,5,7
2025-01-04,Zone_B,6.85,425.0,10.8,22.2,24.2,17.0,80.1,5,10,7,9
2025-01-05,Zone_B,7.0,330.5,5.9,22.6,24.6,3.0,63.0,3,5,4,5
2025-01-06,Zone_B,7.12,270.8,3.3,22.9,24.9,0.0,57.3,2,3,2,2
2025-01-07,Zone_B,7.2,255.2,2.6,23.3,25.3,0.0,54.1,1,2,1,1
2025-01-08,Zone_B,7.16,262.9,3.05,23.2,25.2,0.0,55.8,2,3,2,3
2025-01-09,Zone_B,6.68,525.4,15.4,23.7,25.7,26.2,90.4,6,13,9,12
2025-01-10,Zone_B,6.76,492.0,12.8,23.4,25.4,19.5,84.1,5,11,7,10
2025-01-11,Zone_B,7.02,345.1,6.2,23.8,25.8,0.0,61.8,3,5,3,4
2025-01-12,Zone_B,7.21,265.8,2.9,24.2,26.2,0.0,55.9,1,2,1,2
2025-01-13,Zone_B,7.15,259.0,3.25,24.4,26.4,0.0,54.5,2,2,2,2
2025-01-14,Zone_B,7.18,253.4,2.8,24.7,26.7,0.0,52.9,1,1,1,1
2025-01-15,Zone_B,6.88,405.7,9.7,24.3,26.3,11.8,72.6,3,7,5,6
2025-01-16,Zone_B,7.06,305.2,4.8,25.0,27.0,0.0,59.1,2,3,2,3
2025-01-17,Zone_B,7.22,254.9,2.7,25.2,27.2,0.0,52.5,1,2,1,2
2025-01-18,Zone_B,7.19,258.6,2.95,25.5,27.5,0.0,53.8,2,2,1,2
2025-01-19,Zone_B,7.12,267.3,3.55,25.8,27.8,0.0,55.9,2,3,2,3
2025-01-20,Zone_B,6.61,595.2,19.1,25.3,27.3,33.0,95.8,8,16,11,15
2025-01-21,Zone_B,6.74,508.3,14.0,25.6,27.6,15.8,85.5,5,12,8,11
2025-01-22,Zone_B,6.98,350.6,6.4,26.0,28.0,0.0,64.2,3,5,4,5
2025-01-23,Zone_B,7.17,272.9,3.4,26.3,28.3,0.0,57.5,2,2,2,2
2025-01-24,Zone_B,7.21,256.4,3.0,26.6,28.6,0.0,55.0,1,2,1,1
2025-01-25,Zone_B,7.16,263.8,3.2,26.9,28.9,0.0,54.5,2,3,2,2
2025-01-26,Zone_B,6.94,372.1,8.2,26.4,28.4,9.2,69.8,3,7,4,6
2025-01-27,Zone_B,7.09,292.0,4.35,27.1,29.1,0.0,58.2,2,3,2,3
2025-01-28,Zone_B,7.22,255.8,2.8,27.4,29.4,0.0,53.0,1,2,1,2
2025-01-29,Zone_B,7.18,260.4,3.05,27.7,29.7,0.0,53.9,1,1,1,1
2025-01-30,Zone_B,7.14,268.9,3.45,28.0,30.0,0.0,55.6,2,3,2,2
2025-01-31,Zone_B,6.66,555.0,17.2,27.5,29.5,29.5,92.5,7,15,10,13
2025-02-01,Zone_B,6.81,472.4,11.8,27.8,29.8,13.4,82.4,4,10,7,9
2025-02-02,Zone_B,7.05,320.1,5.5,28.3,30.3,0.0,62.5,2,4,3,4
2025-02-03,Zone_B,7.19,262.7,2.9,28.6,30.6,0.0,56.0,1,2,1,2
2025-02-04,Zone_B,7.23,253.2,2.6,29.0,31.0,0.0,52.5,1,1,1,1
2025-02-05,Zone_B,7.15,267.5,3.25,29.3,31.3,0.0,54.6,2,3,2,3
2025-02-06,Zone_B,6.89,392.4,9.0,28.8,30.8,10.6,71.9,3,7,5,7
2025-02-07,Zone_B,7.07,298.1,4.5,29.5,31.5,0.0,58.9,2,3,2,3
2025-02-08,Zone_B,7.21,257.6,2.85,29.8,31.8,0.0,53.4,1,2,1,2
2025-02-09,Zone_B,7.17,261.9,3.0,30.2,32.2,0.0,54.2,1,2,1,2
2025-02-10,Zone_B,7.13,270.8,3.6,30.4,32.4,0.0,56.2,2,3,2,3
2025-02-11,Zone_B,6.56,628.5,20.2,29.9,31.9,37.0,97.2,9,18,12,16
2025-02-12,Zone_B,6.71,524.3,14.8,30.3,32.3,17.8,86.5,6,13,9,11
2025-02-13,Zone_B,6.99,342.0,6.1,30.7,32.7,0.0,63.9,3,5,4,5
2025-02-14,Zone_B,7.18,266.4,3.15,31.1,33.1,0.0,56.8,1,2,1,2
2025-02-15,Zone_B,7.23,251.9,2.5,31.4,33.4,0.0,51.9,1,1,1,1
2025-02-16,Zone_B,7.16,262.3,3.05,31.7,33.7,0.0,53.8,2,3,2,2
2025-02-17,Zone_B,6.93,382.7,8.5,31.2,33.2,8.7,68.9,3,7,4,6
2025-02-18,Zone_B,7.11,289.4,4.1,32.0,34.0,0.0,57.8,2,3,2,3
2025-02-19,Zone_B,7.22,254.3,2.75,32.3,34.3,0.0,52.7,1,2,1,1
2025-01-01,Zone_C,7.1,270.5,3.65,22.2,24.2,0.0,56.2,2,3,2,3
2025-01-02,Zone_C,7.16,258.4,3.05,22.5,24.5,0.0,54.0,1,2,1,2
2025-01-03,Zone_C,6.89,410.2,9.5,22.9,24.9,15.2,76.8,4,8,6,7
2025-01-04,Zone_C,6.81,438.9,11.4,22.4,24.4,18.4,81.5,5,11,7,9
2025-01-05,Zone_C,6.97,341.6,6.2,22.8,24.8,3.5,64.2,3,6,4,5
2025-01-06,Zone_C,7.09,278.2,3.5,23.1,25.1,0.0,58.0,2,3,2,3
2025-01-07,Zone_C,7.18,260.1,2.75,23.5,25.5,0.0,54.9,1,2,1,1
2025-01-08,Zone_C,7.13,269.4,3.2,23.4,25.4,0.0,56.5,2,3,2,3
2025-01-09,Zone_C,6.64,542.1,16.1,23.9,25.9,27.8,91.8,7,14,10,13
2025-01-10,Zone_C,6.72,505.7,13.5,23.6,25.6,20.8,85.6,6,12,8,11
2025-01-11,Zone_C,6.99,356.2,6.6,24.0,26.0,0.0,62.9,3,5,4,5
2025-01-12,Zone_C,7.18,272.0,3.05,24.4,26.4,0.0,56.8,1,2,1,2
2025-01-13,Zone_C,7.12,264.8,3.4,24.6,26.6,0.0,55.3,2,3,2,2
2025-01-14,Zone_C,7.15,258.9,2.95,24.9,26.9,0.0,53.6,1,2,1,1
2025-01-15,Zone_C,6.84,418.5,10.2,24.5,26.5,12.9,73.9,4,8,5,7
2025-01-16,Zone_C,7.03,314.7,5.1,25.2,27.2,0.0,60.1,2,4,2,3
2025-01-17,Zone_C,7.19,260.8,2.85,25.4,27.4,0.0,53.2,1,2,1,2
2025-01-18,Zone_C,7.15,265.1,3.1,25.7,27.7,0.0,54.7,2,2,2,2
2025-01-19,Zone_C,7.08,275.4,3.7,26.0,28.0,0.0,56.8,2,3,2,3
2025-01-20,Zone_C,6.57,612.8,19.9,25.5,27.5,34.8,96.9,9,17,12,16
2025-01-21,Zone_C,6.7,522.0,14.6,25.8,27.8,16.9,86.7,6,13,9,12
2025-01-22,Zone_C,6.95,361.4,6.8,26.2,28.2,0.0,65.3,3,6,4,5
2025-01-23,Zone_C,7.14,280.2,3.6,26.5,28.5,0.0,58.4,2,3,2,2
2025-01-24,Zone_C,7.18,262.5,3.15,26.8,28.8,0.0,55.8,1,2,1,1
2025-01-25,Zone_C,7.13,270.1,3.35,27.1,29.1,0.0,55.2,2,3,2,3
2025-01-26,Zone_C,6.9,384.9,8.7,26.6,28.6,10.1,70.9,3,7,5,6
2025-01-27,Zone_C,7.05,301.8,4.6,27.3,29.3,0.0,59.1,2,3,2,3
2025-01-28,Zone_C,7.19,261.2,2.95,27.6,29.6,0.0,53.8,1,2,1,2
2025-01-29,Zone_C,7.15,266.3,3.2,27.9,29.9,0.0,54.7,1,2,1,1
2025-01-30,Zone_C,7.1,275.9,3.65,28.2,30.2,0.0,56.5,2,3,2,2
2025-01-31,Zone_C,6.62,571.4,18.0,27.7,29.7,31.0,93.8,8,16,11,14
2025-02-01,Zone_C,6.77,485.6,12.4,28.0,30.0,14.5,83.7,5,11,7,10
2025-02-02,Zone_C,7.01,330.8,5.8,28.5,30.5,0.0,63.6,3,5,3,4
2025-02-03,Zone_C,7.16,269.5,3.05,28.8,30.8,0.0,56.9,1,2,1,2
2025-02-04,Zone_C,7.2,259.0,2.75,29.2,31.2,0.0,53.2,1,1,1,1
2025-02-05,Zone_C,7.12,274.1,3.4,29.5,31.5,0.0,55.5,2,3,2,3
2025-02-06,Zone_C,6.85,404.2,9.4,29.0,31.0,11.5,73.0,4,8,5,7
2025-02-07,Zone_C,7.04,307.9,4.75,29.7,31.7,0.0,59.8,2,3,2,3
2025-02-08,Zone_C,7.18,263.4,2.95,30.0,32.0,0.0,54.1,1,2,1,2
2025-02-09,Zone_C,7.14,268.2,3.15,30.4,32.4,0.0,55.0,1,2,1,2
2025-02-10,Zone_C,7.09,278.4,3.75,30.6,32.6,0.0,57.1,2,4,2,3
2025-02-11,Zone_C,6.52,645.0,21.0,30.1,32.1,38.9,98.1,9,19,13,17
2025-02-12,Zone_C,6.68,539.1,15.5,30.5,32.5,19.0,87.9,6,14,9,12
2025-02-13,Zone_C,6.96,353.8,6.5,30.9,32.9,0.0,64.8,3,6,4,5
2025-02-14,Zone_C,7.15,272.9,3.3,31.3,33.3,0.0,57.6,1,2,1,2
2025-02-15,Zone_C,7.2,257.4,2.65,31.6,33.6,0.0,52.8,1,1,1,1
2025-02-16,Zone_C,7.13,269.0,3.2,31.9,33.9,0.0,54.5,2,3,2,2
2025-02-17,Zone_C,6.89,395.1,8.9,31.4,33.4,9.6,70.1,3,7,5,6
2025-02-18,Zone_C,7.08,298.6,4.3,32.2,34.2,0.0,58.6,2,3,2,3
2025-02-19,Zone_C,7.19,260.7,2.85,32.5,34.5,0.0,53.5,1,2,1,1
2025-01-01,Zone_D,7.08,278.1,3.8,22.4,24.4,0.0,57.1,2,3,2,3
2025-01-02,Zone_D,7.14,264.2,3.15,22.7,24.7,0.0,54.8,1,2,1,2
2025-01-03,Zone_D,6.86,422.5,9.9,23.1,25.1,16.0,77.9,4,9,6,8
2025-01-04,Zone_D,6.78,451.2,11.9,22.6,24.6,19.2,82.6,5,11,8,10
2025-01-05,Zone_D,6.94,352.0,6.5,23.0,25.0,4.1,65.3,3,6,4,5
2025-01-06,Zone_D,7.06,285.6,3.65,23.3,25.3,0.0,58.9,2,3,2,3
2025-01-07,Zone_D,7.15,266.3,2.9,23.7,25.7,0.0,55.6,1,2,1,1
2025-01-08,Zone_D,7.1,275.1,3.35,23.6,25.6,0.0,57.4,2,3,2,3
2025-01-09,Zone_D,6.61,558.4,16.8,24.1,26.1,29.1,92.9,7,15,10,13
2025-01-10,Zone_D,6.69,518.2,14.1,23.8,25.8,21.9,86.8,6,13,8,11
2025-01-11,Zone_D,6.96,367.5,6.9,24.2,26.2,0.0,63.9,3,6,4,5
2025-01-12,Zone_D,7.15,278.4,3.2,24.6,26.6,0.0,57.7,1,2,1,2
2025-01-13,Zone_D,7.09,271.0,3.55,24.8,26.8,0.0,56.1,2,3,2,2
2025-01-14,Zone_D,7.12,264.5,3.05,25.1,27.1,0.0,54.4,1,2,1,1
2025-01-15,Zone_D,6.81,430.1,10.6,24.7,26.7,13.8,74.8,4,8,6,7
2025-01-16,Zone_D,7.0,323.9,5.35,25.4,27.4,0.0,60.9,2,4,3,3
2025-01-17,Zone_D,7.16,267.0,2.95,25.6,27.6,0.0,54.0,1,2,1,2
2025-01-18,Zone_D,7.12,271.8,3.25,25.9,27.9,0.0,55.5,2,3,2,2
2025-01-19,Zone_D,7.05,282.6,3.85,26.2,28.2,0.0,57.6,2,4,2,3
2025-01-20,Zone_D,6.54,629.4,20.6,25.7,27.7,36.2,97.8,9,18,12,17
2025-01-21,Zone_D,6.67,535.1,15.2,26.0,28.0,17.9,87.8,6,14,9,12
2025-01-22,Zone_D,6.92,372.0,7.1,26.4,28.4,0.0,66.1,3,6,4,5
2025-01-23,Zone_D,7.11,287.4,3.75,26.7,28.7,0.0,59.2,2,3,2,2
2025-01-24,Zone_D,7.15,268.9,3.25,27.0,29.0,0.0,56.5,1,2,1,1
2025-01-25,Zone_D,7.1,276.5,3.5,27.3,29.3,0.0,56.0,2,3,2,3
2025-01-26,Zone_D,6.87,396.8,9.1,26.8,28.8,11.0,71.8,3,8,5,7
2025-01-27,Zone_D,7.02,310.5,4.85,27.5,29.5,0.0,60.0,2,4,2,3
2025-01-28,Zone_D,7.16,267.4,3.05,27.8,29.8,0.0,54.6,1,2,1,2
2025-01-29,Zone_D,7.12,272.8,3.35,28.1,30.1,0.0,55.5,1,2,1,1
2025-01-30,Zone_D,7.07,282.1,3.8,28.4,30.4,0.0,57.3,2,3,2,2
2025-01-31,Zone_D,6.59,588.0,18.7,27.9,29.9,32.4,94.9,8,17,11,15
2025-02-01,Zone_D,6.74,498.2,13.0,28.2,30.2,15.5,84.9,5,12,7,10
2025-02-02,Zone_D,6.98,341.5,6.1,28.7,30.7,0.0,64.5,3,5,4,4
2025-02-03,Zone_D,7.13,275.8,3.2,29.0,31.0,0.0,57.7,1,2,1,2
2025-02-04,Zone_D,7.17,265.1,2.85,29.4,31.4,0.0,54.0,1,1,1,1
2025-02-05,Zone_D,7.09,280.4,3.55,29.7,31.7,0.0,56.3,2,3,2,3
2025-02-06,Zone_D,6.82,416.0,9.8,29.2,31.2,12.4,74.1,4,9,5,8
2025-02-07,Zone_D,7.01,317.2,5.0,29.9,31.9,0.0,60.7,2,4,2,3
2025-02-08,Zone_D,7.15,270.1,3.1,30.2,32.2,0.0,54.9,1,2,1,2
2025-02-09,Zone_D,7.11,274.9,3.3,30.6,32.6,0.0,55.8,1,2,1,2
2025-02-10,Zone_D,7.06,285.3,3.9,30.8,32.8,0.0,57.9,2,4,2,3
2025-02-11,Zone_D,6.48,660.1,21.8,30.3,32.3,40.5,99.0,10,20,14,18
2025-02-12,Zone_D,6.64,552.8,16.2,30.7,32.7,20.1,89.1,6,15,10,13
2025-02-13,Zone_D,6.93,364.7,6.85,31.1,33.1,0.0,65.7,3,6,4,5
2025-02-14,Zone_D,7.12,279.1,3.45,31.5,33.5,0.0,58.4,1,2,1,2
2025-02-15,Zone_D,7.17,263.6,2.8,31.8,33.8,0.0,53.5,1,1,1,1
2025-02-16,Zone_D,7.1,275.4,3.35,32.1,34.1,0.0,55.3,2,3,2,2
2025-02-17,Zone_D,6.86,407.2,9.3,31.6,33.6,10.4,71.2,3,8,5,7
2025-02-18,Zone_D,7.05,306.9,4.55,32.4,34.4,0.0,59.4,2,3,2,3
2025-02-19,Zone_D,7.16,268.0,3.0,32.7,34.7,0.0,54.2,1,2,1,1
